partido_label;sexo_cod;sexo_label;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Coronel de Marina Leonardo Rosales;0;Ambos;62712;62796;62880;62962;63044;63124;63203;63281;63358;63433;63508;63581;63654;63725;63795;63864
Coronel Dorrego;0;Ambos;15998;15911;15829;15747;15668;15589;15511;15435;15359;15285;15212;15141;15070;15000;14931;14864
Coronel Pringles;0;Ambos;23179;23068;22965;22861;22760;22659;22561;22463;22368;22273;22180;22089;21999;21910;21823;21737
Coronel Suárez;0;Ambos;38628;38812;38988;39163;39336;39506;39673;39838;40001;40162;40320;40474;40627;40778;40927;41073
Daireaux;0;Ambos;17013;17138;17263;17387;17508;17629;17747;17863;17979;18093;18204;18314;18422;18530;18635;18738
Dolores;0;Ambos;27251;27406;27559;27711;27860;28007;28152;28296;28438;28576;28714;28849;28982;29113;29242;29370
Ensenada;0;Ambos;57123;57615;58103;58585;59062;59532;59995;60452;60903;61346;61783;62214;62638;63057;63469;63874
Escobar;0;Ambos;215256;218766;223018;227205;231337;235408;239461;243456;247385;251245;255073;258805;262495;266121;269692;273209
Exaltación De La Cruz;0;Ambos;29888;30591;31288;31978;32659;33330;33991;34643;35287;35922;36545;37161;37766;38364;38953;39532
Florentino Ameghino;0;Ambos;8932;9007;9082;9155;9228;9300;9371;9441;9510;9578;9645;9711;9776;9839;9903;9964
General Alvarado;0;Ambos;39837;40293;40744;41191;41632;42066;42494;42917;43334;43744;44149;44546;44938;45326;45707;46083
General Alvear;0;Ambos;11234;11260;11286;11311;11336;11361;11385;11410;11433;11456;11480;11503;11524;11546;11568;11590
General Arenales;0;Ambos;15042;15044;15047;15048;15050;15052;15054;15056;15058;15059;15061;15062;15064;15066;15068;15070
General Belgrano;0;Ambos;17474;17665;17856;18045;18230;18414;18594;18773;18949;19123;19293;19461;19627;19790;19951;20110
General Guido;0;Ambos;2841;2847;2852;2857;2862;2867;2872;2877;2882;2887;2892;2897;2901;2906;2910;2915
General Juan Madariaga;0;Ambos;19880;20062;20241;20419;20594;20767;20938;21106;21273;21436;21596;21755;21912;22065;22217;22367
General La Madrid;0;Ambos;10892;10866;10839;10814;10788;10763;10738;10713;10689;10665;10642;10619;10596;10573;10551;10529
General Las Heras;0;Ambos;14955;15215;15472;15727;15978;16226;16469;16710;16948;17182;17412;17639;17863;18083;18300;18514
General Lavalle;0;Ambos;3713;3792;3870;3947;4023;4099;4172;4246;4318;4389;4459;4528;4596;4663;4729;4794
General Paz;0;Ambos;11294;11343;11392;11441;11489;11536;11583;11629;11674;11719;11763;11806;11849;11891;11932;11973
General Pinto;0;Ambos;11363;11379;11394;11409;11423;11438;11452;11467;11481;11494;11508;11521;11534;11547;11560;11573
General Pueyrredón;0;Ambos;624388;627723;631064;634372;637637;640855;644055;647215;650332;653406;656456;659462;662430;665357;668242;671085
General Rodríguez;0;Ambos;87339;89700;92041;94357;96643;98895;101116;103308;105469;107599;109695;111759;113795;115802;117780;119727
General Viamonte;0;Ambos;18232;18288;18343;18397;18451;18505;18556;18608;18659;18709;18758;18807;18855;18903;18949;18995
General Villegas;0;Ambos;31092;31324;31555;31784;32009;32232;32451;32667;32880;33090;33297;33501;33701;33899;34094;34286
Guaminí;0;Ambos;11918;11988;12058;12127;12195;12263;12329;12394;12458;12522;12584;12646;12707;12766;12825;12883
Hipólito Yrigoyen;0;Ambos;9657;9722;9784;9847;9909;9970;10029;10089;10148;10205;10262;10318;10373;10427;10480;10533
Junín;0;Ambos;91192;92712;92811;92911;93013;93115;93168;93221;93274;93329;93384;93440;93497;93553;93611;93670
La Costa;0;Ambos;70033;70933;71826;72708;73580;74439;75285;76121;76945;77756;78554;79341;80118;80883;81637;82379
La Plata;0;Ambos;659575;664746;670477;676195;681831;687378;692779;698164;703504;708733;713947;719013;724010;728912;733741;738505
Laprida;0;Ambos;10287;10353;10417;10481;10544;10606;10668;10728;10788;10847;10905;10962;11018;11074;11128;11182
Las Flores;0;Ambos;24087;24127;24157;24186;24215;24244;24272;24300;24328;24355;24382;24410;24436;24462;24487;24513
Leandro N. Alem;0;Ambos;16942;16995;17047;17099;17150;17200;17250;17300;17348;17396;17442;17489;17534;17580;17624;17667
Lincoln;0;Ambos;42204;42216;42227;42238;42248;42259;42270;42281;42291;42302;42312;42323;42333;42342;42353;42363
Lobería;0;Ambos;17671;17736;17799;17863;17925;17986;18047;18107;18166;18224;18281;18338;18393;18447;18502;18555
Lobos;0;Ambos;36404;36765;37132;37496;37854;38208;38557;38900;39239;39573;39901;40225;40544;40858;41168;41473
Luján;0;Ambos;106886;108250;109603;110942;112263;113564;114848;116114;117364;118593;119805;120998;122174;123334;124477;125602
Magdalena;0;Ambos;18924;19121;19315;19508;19697;19883;20041;20195;20346;20493;20613;20729;20842;20953;21059;21163
Maipú;0;Ambos;10255;10263;10275;10288;10301;10314;10328;10343;10357;10372;10388;10402;10419;10435;10452;10469
Mar Chiquita;0;Ambos;21361;21782;22199;22612;23019;23420;23816;24206;24591;24971;25344;25712;26075;26432;26784;27131
Marcos Paz;0;Ambos;54337;55618;56887;58145;59385;60607;61811;63001;64174;65329;66466;67586;68691;69780;70853;71909
Mercedes;0;Ambos;63759;64184;64607;65025;65437;65844;66245;66640;67030;67415;67793;68165;68532;68895;69252;69603
Monte;0;Ambos;21111;21357;21638;21915;22207;22482;22832;23127;23396;23699;23896;24198;24485;24796;25103;25393
Monte Hermoso;0;Ambos;6534;6630;6718;6807;6895;6980;7064;7147;7230;7310;7390;7468;7546;7621;7695;7769
Navarro;0;Ambos;17184;17293;17399;17505;17609;17712;17815;17914;18013;18110;18206;18301;18394;18485;18575;18665
Necochea;0;Ambos;93730;93970;94207;94442;94673;94902;95126;95348;95568;95783;95995;96204;96410;96614;96814;97011
9 de Julio;0;Ambos;48150;48217;48283;48347;48413;48475;48539;48601;48661;48721;48780;48838;48896;48952;49008;49063
Olavarría;0;Ambos;112534;113339;114137;114926;115706;116473;117230;117977;118715;119441;120154;120858;121552;122236;122911;123574
Patagones;0;Ambos;30446;30610;30773;30935;31094;31250;31405;31557;31708;31856;32002;32146;32288;32427;32565;32701
Pehuajó;0;Ambos;40109;40249;40389;40527;40664;40798;40930;41060;41189;41316;41441;41564;41686;41805;41923;42039
Pellegrini;0;Ambos;5913;5929;5960;5972;5983;5995;6007;6020;6032;6045;6058;6072;6085;6099;6113;6128
Pergamino;0;Ambos;105420;105906;106387;106863;107332;107794;108251;108700;109145;109582;110012;110435;110854;111266;111672;112071
Pila;0;Ambos;3665;3697;3728;3760;3791;3821;3851;3880;3909;3937;3966;3994;4021;4048;4074;4100
Pilar;0;Ambos;299549;307852;316084;324228;332268;340189;347998;355707;363309;370798;378167;385426;392587;399645;406599;413447
Pinamar;0;Ambos;25798;26410;27015;27614;28206;28789;29364;29931;30491;31042;31584;32119;32646;33166;33677;34182
Presidente Perón;0;Ambos;81166;83780;86372;88936;91467;93960;96420;98847;101239;103597;105918;108203;110457;112680;114868;117024
Puán;0;Ambos;15871;15816;15761;15668;15576;15486;15396;15309;15223;15137;15054;14972;14891;14811;14733;14657
Punta Indio;0;Ambos;9964;10028;10093;10156;10219;10282;10343;10404;10463;10521;10579;10635;10692;10747;10802;10855
Ramallo;0;Ambos;33218;33697;34173;34644;35109;35567;36018;36463;36902;37335;37761;38180;38595;39003;39404;39800
Rauch;0;Ambos;15293;15385;15476;15566;15656;15743;15830;15916;16000;16083;16165;16246;16325;16404;16481;16557
Rivadavia;0;Ambos;16317;16430;16515;16589;16663;16746;16826;16904;16978;17050;17119;17184;17247;17307;17366;17421
Rojas;0;Ambos;23630;23705;23779;23852;23924;23995;24065;24134;24203;24269;24336;24401;24465;24529;24591;24652
Roque Pérez;0;Ambos;12365;12535;12692;12848;13000;13151;13298;13444;13587;13726;13863;13998;14129;14259;14386;14511
Saavedra;0;Ambos;20918;21028;21135;21242;21346;21449;21551;21651;21750;21847;21943;22037;22130;22221;22311;22400
Saladillo;0;Ambos;32317;32627;32936;33241;33542;33839;34131;34420;34705;34985;35261;35533;35802;36066;36326;36583
Salto;0;Ambos;32841;33260;33676;34087;34494;34894;35288;35678;36061;36440;36812;37179;37541;37897;38248;38594
Salliqueló;0;Ambos;8714;8721;8730;8740;8750;8760;8769;8779;8789;8799;8810;8819;8829;8840;8850;8860
San Andrés de Giles;0;Ambos;23168;23440;23709;23976;24240;24500;24755;25008;25257;25502;25744;25981;26216;26448;26675;26899
San Antonio de Areco;0;Ambos;23297;23504;23708;23910;24111;24307;24501;24693;24882;25068;25251;25431;25610;25785;25957;26128
San Cayetano;0;Ambos;8469;8503;8537;8571;8605;8638;8671;8704;8734;8766;8797;8827;8857;8887;8915;8945
San Nicolás;0;Ambos;146976;147855;148727;149589;150441;151279;152106;152922;153728;154520;155301;156069;156827;157575;158311;159037
San Pedro;0;Ambos;59466;59911;60352;60788;61219;61644;62061;62474;62881;63283;63677;64066;64450;64827;65200;65567
San Vicente;0;Ambos;59510;61374;63222;65051;66856;68634;70388;72118;73825;75506;77161;78791;80398;81983;83544;85082
Suipacha;0;Ambos;10134;10280;10424;10567;10707;10846;10983;11117;11250;11382;11510;11637;11763;11886;12008;12128
Tandil;0;Ambos;124631;126170;127689;129214;130718;132199;133659;135101;136522;137922;139300;140657;141996;143314;144614;145893
Tapalqué;0;Ambos;9238;9330;9421;9510;9598;9686;9772;9856;9940;10022;10103;10183;10262;10340;10416;10491
Tordillo;0;Ambos;1780;1783;1785;1788;1791;1794;1796;1799;1801;1804;1807;1809;1812;1814;1816;1818
Tornquist;0;Ambos;12810;12929;13048;13165;13281;13395;13507;13619;13728;13836;13942;14047;14150;14251;14352;14450
Trenque Lauquen;0;Ambos;43326;43676;44025;44369;44708;45043;45373;45699;46019;46336;46648;46954;47256;47554;47849;48137
Tres Arroyos;0;Ambos;57497;57502;57510;57520;57533;57543;57556;57572;57590;57611;57634;57660;57689;57720;57754;57789
Tres Lomas;0;Ambos;8409;8471;8508;8562;8600;8646;8686;8726;8764;8801;8837;8872;8906;8939;8971;9002
25 de Mayo;0;Ambos;36149;36247;36343;36439;36533;36627;36718;36808;36897;36985;37071;37156;37240;37323;37405;37485
Villa Gesell;0;Ambos;31845;32499;33147;33788;34421;35044;35660;36266;36865;37454;38034;38606;39170;39726;40273;40812
Villarino;0;Ambos;31162;31710;32251;32784;33312;33830;34341;34847;35344;35834;36315;36790;37258;37719;38172;38619
Zárate;0;Ambos;114957;116345;117720;119081;120425;121748;123054;124342;125613;126865;128096;129309;130506;131686;132848;133993
Total provincial;1;Masculino;7678592;7776525;7873684;7969864;8064849;8158456;8250777;8341933;8431831;8520388;8607537;8693385;8778048;8861488;8943682;9024621
Almirante Brown;1;Masculino;273352;275570;277794;279980;282143;284281;286295;288288;290157;292051;293919;295763;297635;299484;301310;303113
Avellaneda;1;Masculino;164391;164946;165485;166035;166572;167107;167630;168131;168639;169146;169649;170161;170680;171177;171672;172165
Berazategui;1;Masculino;160142;162219;164329;166469;168483;170469;172427;174360;176266;178144;180043;181743;183539;185308;187051;188818
Esteban Echeverría;1;Masculino;148426;152560;156364;160231;163954;167536;171112;174693;178228;181394;184606;187841;191081;194356;197605;200857
Ezeiza;1;Masculino;81955;85115;88251;91457;94528;97456;100246;103001;105717;108394;111027;113724;116404;119125;121859;124505
Florencio Varela;1;Masculino;214021;219251;224346;229340;234274;238940;243541;248185;252666;257080;261523;265802;270022;274181;278342;282376
General San Martín;1;Masculino;200761;201173;201555;201937;202320;202683;203047;203411;203776;204121;204457;204763;205070;205368;205656;205874
Hurlingham;1;Masculino;88302;88814;89323;89826;90322;90812;91295;91772;92242;92705;93161;93610;94052;94489;94919;95342
Ituzaingó;1;Masculino;82091;82741;83386;84024;84654;85275;85887;86492;87089;87676;88254;88824;89286;89739;90185;90622
José C. Paz;1;Masculino;132440;134582;136707;138810;140888;142935;145004;146998;148801;150738;152392;154270;156121;157794;159542;161212
La Matanza;1;Masculino;870571;897247;923909;950091;976002;1001600;1026815;1051695;1076471;1100879;1124826;1148433;1171961;1195219;1218121;1241065
Lanús;1;Masculino;221814;221795;221776;221757;221739;221721;221703;221685;221668;221651;221634;221618;221601;221585;221569;221554
Lomas de Zamora;1;Masculino;300766;302325;303908;305502;307065;308584;310062;311459;312744;313967;315197;316405;317541;318567;319540;320492
Malvinas Argentinas;1;Masculino;160801;162688;164610;166463;168343;170236;172115;173871;175603;177309;178988;180642;182274;183881;185465;187024
Merlo;1;Masculino;261973;265753;269488;273460;277330;281268;285213;289219;293234;297205;301160;304941;308433;311886;315247;318316
Moreno;1;Masculino;226058;230454;234916;239434;244050;248654;253201;257797;262437;267117;271635;276045;280402;284705;288953;293145
Morón;1;Masculino;155272;154960;154650;154343;154040;153742;153448;153157;152871;152588;152311;152037;151767;151501;151239;150981
Quilmes;1;Masculino;284721;288865;293045;296980;300934;304939;308948;312969;316943;320869;324796;328627;332216;335762;339064;342322
San Fernando;1;Masculino;79545;80088;80626;81159;81686;82205;82717;83222;83720;84211;84695;85170;85640;86102;86558;87007
San Isidro;1;Masculino;140417;140178;139964;139785;139612;139447;139289;139138;138993;138856;138726;138614;138548;138489;138447;138402
San Miguel;1;Masculino;136006;137346;138674;139990;141289;142569;143832;145078;146308;147519;148711;149885;151043;152184;153308;154415
Tigre;1;Masculino;185483;190425;195232;199794;204303;208748;213136;217270;221348;225364;229317;233211;237051;240836;244564;248235
Tres de Febrero;1;Masculino;164035;164081;164129;164179;164231;164287;164335;164376;164409;164445;164484;164536;164590;164636;164676;164677
Vicente López;1;Masculino;127707;127508;127315;127130;126954;126790;126636;126492;126358;126235;126124;126023;125932;125851;125780;125719
Adolfo Alsina;1;Masculino;8514;8516;8518;8521;8524;8526;8529;8531;8534;8537;8540;8542;8545;8548;8551;8554
Adolfo Gonzales Chaves;1;Masculino;5993;5976;5959;5942;5925;5908;5892;5876;5860;5844;5829;5814;5799;5784;5769;5755
Alberti;1;Masculino;5246;5261;5275;5289;5303;5317;5331;5344;5357;5370;5383;5396;5408;5421;5433;5445
Arrecifes;1;Masculino;14136;14242;14346;14449;14551;14651;14750;14848;14944;15039;15133;15225;15316;15405;15493;15580
Ayacucho;1;Masculino;10107;10150;10193;10235;10277;10318;10359;10399;10439;10478;10516;10554;10592;10628;10665;10700
Azul;1;Masculino;32047;32135;32223;32310;32395;32479;32563;32645;32726;32805;32884;32961;33037;33113;33187;33259
Bahía Blanca;1;Masculino;146508;146787;147064;147338;147608;147874;148138;148397;148653;148906;149154;149398;149639;149877;150111;150342
Balcarce;1;Masculino;21785;21867;21947;22027;22106;22183;22260;22335;22410;22483;22555;22626;22697;22766;22834;22901
Baradero;1;Masculino;16356;16546;16734;16921;17105;17286;17465;17642;17816;17988;18157;18324;18488;18650;18809;18966
Benito Juárez;1;Masculino;10376;10379;10381;10385;10388;10391;10394;10397;10400;10403;10405;10408;10411;10414;10417;10419
Berisso;1;Masculino;43474;43876;44274;44669;45058;45442;45821;46195;46563;46927;47284;47636;47983;48325;48663;48995
Bolívar;1;Masculino;17033;17109;17186;17262;17336;17411;17483;17555;17625;17695;17764;17832;17898;17963;18029;18092
Bragado;1;Masculino;20292;20297;20301;20305;20310;20314;20318;20322;20326;20330;20334;20338;20341;20345;20349;20352
Brandsen;1;Masculino;13169;13414;13657;13897;14135;14368;14599;14827;15052;15273;15491;15705;15917;16125;16331;16533
Campana;1;Masculino;47729;48344;48953;49556;50152;50739;51318;51890;52454;53009;53556;54094;54626;55149;55664;56172
Cañuelas;1;Masculino;26096;26697;27294;27885;28469;29044;29611;30171;30723;31268;31803;32330;32851;33363;33868;34365
Capitán Sarmiento;1;Masculino;7126;7221;7315;7408;7500;7591;7681;7769;7856;7942;8027;8110;8192;8273;8353;8431
Carlos Casares;1;Masculino;10985;11043;11100;11157;11213;11268;11322;11376;11429;11481;11532;11583;11632;11682;11730;11778
