partido_label;sexo_cod;sexo_label;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Las Flores;1;Masculino;11673;11687;11691;11695;11699;11703;11707;11711;11715;11719;11723;11728;11732;11736;11740;11744
Leandro N. Alem;1;Masculino;8317;8346;8374;8402;8430;8457;8484;8511;8537;8563;8588;8614;8638;8663;8687;8710
Lincoln;1;Masculino;20785;20790;20795;20800;20804;20809;20814;20819;20824;20829;20834;20839;20844;20848;20853;20858
Lobería;1;Masculino;8897;8934;8970;9006;9041;9076;9110;9144;9178;9211;9243;9275;9306;9337;9368;9398
Lobos;1;Masculino;17678;17851;18032;18212;18389;18564;18736;18905;19073;19238;19400;19560;19717;19872;20025;20175
Luján;1;Masculino;52692;53366;54035;54697;55351;55995;56631;57258;57877;58486;59086;59677;60260;60834;61400;61957
Magdalena;1;Masculino;10763;10868;10971;11075;11176;11277;11376;11473;11570;11664;11758;11850;11940;12031;12118;12205
Maipú;1;Masculino;4898;4903;4908;4913;4919;4924;4930;4936;4942;4948;4955;4961;4968;4975;4983;4990
Mar Chiquita;1;Masculino;10684;10904;11122;11338;11551;11761;11968;12172;12374;12573;12768;12961;13151;13338;13522;13704
Marcos Paz;1;Masculino;27982;28658;29329;29994;30650;31297;31934;32564;33185;33797;34399;34992;35577;36153;36721;37280
Mercedes;1;Masculino;31407;31630;31852;32072;32289;32503;32714;32922;33127;33330;33529;33725;33918;34109;34297;34482
Monte;1;Masculino;10435;10561;10704;10845;10994;11134;11342;11492;11610;11754;11825;11964;12100;12253;12404;12541
Monte Hermoso;1;Masculino;3356;3408;3454;3500;3546;3590;3634;3677;3720;3762;3803;3844;3884;3923;3961;3999
Navarro;1;Masculino;8568;8625;8681;8736;8791;8845;8899;8951;9003;9054;9104;9154;9203;9251;9298;9345
Necochea;1;Masculino;44994;45069;45143;45217;45289;45361;45431;45501;45570;45637;45704;45769;45834;45898;45960;46022
9 de Julio;1;Masculino;23441;23475;23509;23542;23576;23608;23641;23673;23704;23735;23765;23795;23825;23854;23883;23911
Olavarría;1;Masculino;55908;56333;56754;57170;57582;57987;58387;58782;59172;59556;59933;60305;60672;61033;61390;61740
Patagones;1;Masculino;15179;15256;15332;15408;15483;15556;15629;15700;15771;15840;15909;15976;16043;16108;16173;16237
Pehuajó;1;Masculino;19498;19549;19600;19650;19700;19749;19797;19844;19891;19938;19983;20028;20073;20116;20159;20201
Pellegrini;1;Masculino;2935;2942;2963;2965;2967;2969;2971;2974;2977;2980;2983;2987;2991;2995;2999;3004
Pergamino;1;Masculino;49896;50006;50114;50222;50328;50432;50536;50637;50738;50837;50934;51030;51125;51218;51310;51400
Pila;1;Masculino;1855;1866;1877;1888;1899;1910;1920;1930;1940;1950;1960;1970;1979;1989;1998;2007
Pilar;1;Masculino;149227;153488;157716;161901;166034;170108;174125;178091;182003;185857;189649;193384;197068;200699;204276;207798
Pinamar;1;Masculino;12899;13225;13548;13868;14184;14496;14803;15106;15406;15700;15990;16276;16558;16836;17109;17379
Presidente Perón;1;Masculino;40401;41762;43113;44450;45770;47071;48355;49622;50871;52102;53314;54507;55684;56844;57986;59111
Puán;1;Masculino;7798;7777;7757;7698;7639;7582;7525;7470;7415;7361;7308;7256;7205;7155;7106;7058
Punta Indio;1;Masculino;4995;5024;5054;5083;5112;5141;5169;5197;5224;5251;5277;5303;5329;5355;5380;5404
Ramallo;1;Masculino;16472;16707;16941;17172;17401;17626;17848;18067;18283;18496;18706;18912;19116;19317;19514;19709
Rauch;1;Masculino;7537;7582;7627;7671;7715;7758;7801;7843;7884;7925;7965;8005;8044;8083;8121;8158
Rivadavia;1;Masculino;8261;8326;8369;8402;8432;8471;8509;8545;8579;8612;8643;8672;8699;8725;8750;8773
Rojas;1;Masculino;11521;11568;11614;11659;11704;11748;11792;11835;11878;11919;11961;12001;12041;12081;12120;12158
Roque Pérez;1;Masculino;6173;6261;6338;6414;6488;6561;6633;6704;6773;6840;6906;6971;7034;7096;7157;7216
Saavedra;1;Masculino;10629;10730;10828;10926;11022;11116;11210;11302;11393;11482;11570;11656;11742;11825;11908;11989
Saladillo;1;Masculino;15850;16002;16154;16304;16452;16598;16742;16884;17024;17162;17298;17432;17564;17694;17822;17948
Salto;1;Masculino;16122;16336;16548;16758;16966;17170;17372;17571;17767;17961;18151;18339;18524;18706;18885;19062
Salliqueló;1;Masculino;4264;4267;4272;4278;4284;4290;4296;4302;4308;4315;4322;4328;4335;4342;4349;4356
San Andrés de Giles;1;Masculino;11624;11762;11899;12035;12169;12302;12432;12561;12688;12813;12936;13057;13177;13295;13411;13525
San Antonio de Areco;1;Masculino;11475;11580;11684;11786;11888;11987;12086;12183;12279;12374;12467;12558;12649;12738;12825;12912
San Cayetano;1;Masculino;4220;4237;4254;4271;4288;4304;4321;4337;4352;4368;4383;4398;4413;4428;4442;4457
San Nicolás;1;Masculino;71991;72459;72923;73382;73836;74282;74723;75158;75588;76010;76427;76836;77240;77639;78031;78418
San Pedro;1;Masculino;29402;29590;29776;29960;30142;30322;30498;30673;30845;31015;31182;31346;31509;31668;31826;31981
San Vicente;1;Masculino;29406;30368;31322;32267;33200;34119;35026;35921;36804;37674;38530;39373;40204;41024;41831;42626
Suipacha;1;Masculino;5023;5087;5151;5214;5276;5337;5398;5457;5516;5574;5631;5687;5743;5797;5851;5904
Tandil;1;Masculino;60518;61288;62046;62817;63578;64328;65067;65798;66518;67227;67926;68613;69292;69960;70619;71267
Tapalqué;1;Masculino;4584;4628;4671;4713;4755;4797;4838;4878;4918;4957;4995;5033;5071;5108;5144;5180
Tordillo;1;Masculino;940;942;943;945;947;949;950;952;953;955;957;958;960;961;963;964
Tornquist;1;Masculino;6423;6480;6538;6594;6650;6706;6760;6814;6867;6919;6970;7021;7071;7120;7169;7216
Trenque Lauquen;1;Masculino;21292;21447;21602;21755;21905;22054;22201;22346;22488;22629;22768;22904;23038;23171;23302;23430
Tres Arroyos;1;Masculino;28020;28022;28025;28029;28035;28041;28049;28059;28069;28081;28094;28108;28124;28141;28159;28178
Tres Lomas;1;Masculino;4198;4230;4252;4273;4293;4313;4328;4343;4358;4373;4388;4403;4418;4433;4448;4463
25 de Mayo;1;Masculino;17564;17593;17622;17651;17679;17707;17734;17761;17788;17814;17840;17865;17890;17915;17940;17964
Villa Gesell;1;Masculino;16027;16399;16768;17133;17494;17849;18200;18546;18887;19223;19554;19880;20202;20519;20831;21138
Villarino;1;Masculino;15818;16089;16355;16617;16877;17132;17383;17632;17876;18117;18353;18586;18816;19042;19264;19483
Zárate;1;Masculino;57508;58299;59083;59860;60627;61382;62128;62864;63590;64305;65008;65701;66385;67059;67722;68376
Total provincial;2;Femenino;8038350;8133082;8226934;8319735;8411300;8501475;8590358;8678079;8764565;8849756;8933604;9016213;9097695;9178021;9257169;9335132
Almirante Brown;2;Femenino;283673;285779;287715;289931;292120;294232;296246;298276;300261;302219;304050;305855;307636;309394;311128;312887
Avellaneda;2;Femenino;181361;181901;182439;182964;183508;184058;184616;185142;185675;186206;186743;187279;187832;188373;188911;189367
Berazategui;2;Femenino;165967;168058;170129;172178;174199;176189;178151;180087;181996;183877;185728;187551;189350;191123;192870;194640
Esteban Echeverría;2;Femenino;152359;156301;160203;163575;167077;170354;173683;176871;180114;183247;186294;189396;192457;195375;198251;201164
Ezeiza;2;Femenino;81332;84169;87082;89665;92314;94974;97649;100291;102898;105470;108004;110504;112872;115108;117361;119662
Florencio Varela;2;Femenino;212717;217500;221941;226332;230665;235010;239216;243467;247559;251591;255559;259468;263424;267425;271470;275560
General San Martín;2;Femenino;217256;217617;217976;218334;218689;219042;219393;219742;220101;220446;220808;221148;221486;221823;222127;222409
Hurlingham;2;Femenino;94302;94950;95591;96226;96852;97468;98076;98675;99266;99849;100422;100987;101544;102093;102634;103167
Ituzaingó;2;Femenino;86947;87551;88150;88742;89327;89902;90469;91029;91581;92125;92660;93187;93707;94220;94725;95223
José C. Paz;2;Femenino;134835;136975;139094;141189;143257;145293;147300;149281;151234;153158;155051;156917;158757;160570;162168;163778
La Matanza;2;Femenino;906959;933279;959342;985303;1010782;1035828;1060544;1085000;1109126;1132981;1156368;1179441;1202188;1224653;1246722;1268482
Lanús;2;Femenino;241741;241683;241625;241568;241512;241457;241403;241349;241296;241244;241193;241142;241092;241043;240995;240947
Lomas de Zamora;2;Femenino;320674;321964;323242;324527;325777;327009;328225;329457;330693;331913;333115;334273;335396;336555;337678;338757
Malvinas Argentinas;2;Femenino;163557;165399;167224;169028;170809;172562;174291;175996;177678;179334;180965;182621;184205;185767;187306;188872
Merlo;2;Femenino;269636;273256;276895;280547;284236;287897;291524;295048;298529;301914;305253;308568;311874;315089;318293;321365
Moreno;2;Femenino;228358;232697;237099;241607;245862;250059;254202;258296;262238;266175;270056;273885;277666;281398;285081;288584
Morón;2;Femenino;169007;168720;168426;168146;167880;167609;167333;167061;166803;166550;166321;166067;165817;165572;165320;165092
Quilmes;2;Femenino;301741;305547;309391;313279;317172;321067;324965;328773;332537;336254;339987;343572;347159;350704;354213;357675
San Fernando;2;Femenino;84907;85466;86020;86567;87107;87639;88163;88680;89191;89693;90188;90675;91155;91629;92096;92556
San Isidro;2;Femenino;155477;155250;155028;154812;154603;154401;154207;154019;153838;153664;153498;153349;153156;152959;152829;152695
San Miguel;2;Femenino;142013;143476;144929;146396;147846;149276;150538;151783;153011;154221;155411;156584;157741;158881;160004;161111
Tigre;2;Femenino;191032;195706;200391;204855;209139;213360;217524;221636;225692;229692;233681;237565;241381;245163;248903;252380
Tres de Febrero;2;Femenino;179303;179360;179408;179438;179470;179505;179542;179541;179552;179566;179583;179581;179582;179585;179620;179677
Vicente López;2;Femenino;144682;144169;143763;143468;143185;142915;142658;142405;142151;141829;141531;141234;140948;140687;140423;140166
Adolfo Alsina;2;Femenino;8708;8733;8758;8782;8806;8830;8853;8876;8899;8921;8943;8965;8987;9008;9029;9049
Adolfo Gonzales Chaves;2;Femenino;6175;6166;6157;6149;6140;6132;6124;6116;6108;6100;6093;6085;6078;6071;6063;6056
Alberti;2;Femenino;5500;5512;5524;5535;5547;5558;5569;5580;5591;5602;5612;5622;5633;5643;5652;5662
Arrecifes;2;Femenino;15116;15231;15344;15456;15566;15675;15782;15887;15992;16094;16195;16295;16393;16490;16585;16679
Ayacucho;2;Femenino;10398;10438;10478;10517;10555;10593;10631;10668;10704;10740;10775;10810;10844;10878;10912;10945
Azul;2;Femenino;33789;33894;33998;34101;34203;34303;34402;34499;34595;34690;34783;34874;34965;35054;35142;35228
Bahía Blanca;2;Femenino;157698;158042;158381;158718;159049;159376;159698;160016;160329;160638;160941;161241;161536;161827;162113;162396
Balcarce;2;Femenino;22405;22482;22559;22635;22710;22783;22856;22927;22998;23068;23136;23203;23270;23336;23400;23464
Baradero;2;Femenino;16613;16779;16943;17106;17266;17424;17580;17733;17885;18034;18181;18325;18468;18608;18747;18883
Benito Juárez;2;Femenino;10053;10061;10069;10076;10084;10091;10099;10106;10113;10120;10127;10134;10140;10147;10153;10160
Berisso;2;Femenino;45596;46001;46401;46797;47188;47573;47952;48327;48696;49060;49417;49770;50118;50461;50798;51131
Bolívar;2;Femenino;17435;17517;17597;17677;17756;17833;17910;17985;18059;18133;18205;18276;18346;18415;18483;18550
Bragado;2;Femenino;21418;21459;21500;21541;21581;21621;21660;21698;21736;21773;21810;21846;21882;21917;21952;21986
Brandsen;2;Femenino;13311;13546;13779;14009;14236;14460;14680;14898;15112;15324;15532;15737;15939;16138;16334;16528
Campana;2;Femenino;47312;47808;48299;48784;49263;49735;50200;50659;51111;51557;51996;52428;52854;53274;53688;54096
Cañuelas;2;Femenino;25963;26508;27048;27583;28110;28629;29141;29646;30144;30635;31118;31593;32062;32525;32981;33430
Capitán Sarmiento;2;Femenino;7450;7546;7642;7736;7829;7921;8011;8100;8188;8274;8360;8443;8526;8608;8688;8767
Carlos Casares;2;Femenino;11422;11501;11580;11658;11734;11810;11884;11958;12030;12102;12172;12241;12309;12377;12443;12508
Carlos Tejedor;2;Femenino;5795;5799;5803;5807;5811;5815;5819;5823;5827;5831;5835;5838;5842;5845;5849;5852
Carmen de Areco;2;Femenino;7395;7431;7466;7501;7536;7570;7603;7636;7669;7701;7733;7764;7795;7825;7855;7884
Castelli;2;Femenino;4223;4254;4285;4316;4346;4376;4405;4434;4463;4491;4519;4546;4573;4600;4626;4652
Chacabuco;2;Femenino;25097;25292;25484;25675;25863;26048;26230;26410;26588;26763;26935;27104;27272;27437;27599;27759
Chascomús;2;Femenino;21627;21849;22069;22287;22502;22713;22922;23127;23330;23530;23727;23920;24111;24300;24485;24668
Chivilcoy;2;Femenino;33573;33764;33954;34141;34326;34508;34687;34864;35039;35211;35380;35547;35712;35874;36034;36191
Colón;2;Femenino;12822;12929;13036;13141;13245;13348;13449;13549;13647;13744;13839;13933;14025;14117;14206;14295
Coronel de Marina Leonardo Rosales;2;Femenino;31886;31989;32092;32193;32293;32392;32489;32585;32679;32772;32864;32954;33043;33131;33217;33302
Coronel Dorrego;2;Femenino;8179;8143;8107;8071;8036;8001;7967;7933;7900;7867;7835;7803;7772;7741;7710;7680
Coronel Pringles;2;Femenino;11893;11860;11829;11797;11766;11735;11705;11675;11646;11617;11588;11560;11533;11505;11479;11452
Coronel Suárez;2;Femenino;19646;19755;19862;19968;20073;20176;20278;20378;20477;20575;20671;20765;20858;20950;21041;21130
Daireaux;2;Femenino;8518;8575;8632;8689;8744;8799;8853;8906;8959;9011;9061;9112;9161;9210;9258;9305
Dolores;2;Femenino;14036;14117;14197;14276;14354;14430;14506;14581;14655;14727;14799;14869;14938;15007;15074;15141
Ensenada;2;Femenino;29033;29269;29503;29734;29962;30187;30409;30627;30843;31055;31264;31470;31673;31873;32070;32264
Escobar;2;Femenino;108360;109721;111742;113720;115671;117592;119525;121427;123292;125118;126945;128705;130451;132161;133845;135503
Exaltación De La Cruz;2;Femenino;14869;15208;15544;15876;16204;16527;16845;17159;17469;17774;18074;18370;18661;18949;19232;19511
Florentino Ameghino;2;Femenino;4463;4505;4547;4588;4629;4669;4709;4748;4787;4825;4862;4899;4936;4971;5007;5041
General Alvarado;2;Femenino;20237;20468;20697;20923;21146;21366;21582;21796;22007;22214;22419;22620;22818;23014;23207;23397
General Alvear;2;Femenino;4868;4900;4932;4963;4994;5025;5055;5085;5114;5143;5172;5200;5227;5254;5281;5308
General Arenales;2;Femenino;7674;7686;7699;7711;7723;7735;7747;7759;7770;7781;7792;7803;7814;7825;7835;7846
General Belgrano;2;Femenino;8911;8984;9057;9130;9201;9271;9340;9409;9476;9543;9608;9672;9736;9798;9860;9921
General Guido;2;Femenino;1378;1383;1387;1391;1395;1399;1403;1407;1411;1415;1419;1423;1426;1430;1433;1437
General Juan Madariaga;2;Femenino;10250;10345;10438;10531;10622;10712;10801;10888;10975;11060;11143;11226;11307;11387;11466;11544
General La Madrid;2;Femenino;5486;5484;5481;5479;5477;5475;5472;5470;5468;5466;5464;5462;5460;5458;5456;5454
General Las Heras;2;Femenino;7618;7753;7886;8018;8148;8276;8402;8526;8649;8770;8889;9006;9122;9236;9348;9459
General Lavalle;2;Femenino;1805;1848;1890;1931;1972;2013;2052;2092;2130;2169;2206;2243;2280;2316;2351;2386
General Paz;2;Femenino;5666;5691;5716;5741;5765;5789;5813;5836;5859;5882;5904;5926;5948;5969;5990;6011
General Pinto;2;Femenino;5648;5665;5682;5698;5714;5730;5746;5762;5777;5792;5807;5821;5836;5850;5864;5878
General Pueyrredón;2;Femenino;325574;327147;328720;330277;331813;333327;334845;336344;337823;339282;340743;342184;343607;345011;346396;347761
General Rodríguez;2;Femenino;43888;45024;46149;47262;48359;49440;50506;51558;52594;53616;54621;55611;56588;57551;58500;59435
General Viamonte;2;Femenino;9230;9247;9264;9280;9296;9313;9328;9344;9359;9374;9389;9404;9418;9433;9447;9461
General Villegas;2;Femenino;15368;15465;15561;15657;15751;15844;15935;16025;16114;16201;16288;16373;16456;16539;16620;16700
Guaminí;2;Femenino;5920;5958;5996;6034;6071;6108;6144;6179;6214;6249;6283;6317;6350;6382;6414;6446
Hipólito Yrigoyen;2;Femenino;4864;4896;4927;4958;4989;5019;5048;5078;5107;5135;5163;5191;5218;5245;5271;5297
Junín;2;Femenino;47114;47867;47919;47972;48026;48081;48086;48092;48098;48105;48113;48121;48130;48139;48149;48160
La Costa;2;Femenino;35465;35910;36351;36786;37216;37640;38057;38469;38875;39275;39668;40056;40439;40816;41188;41554
La Plata;2;Femenino;340096;343104;346084;349031;351938;354802;357624;360409;363156;365861;368523;371146;373734;376284;378797;381273
Laprida;2;Femenino;5289;5325;5359;5394;5428;5461;5495;5527;5559;5591;5622;5653;5683;5713;5742;5771
Las Flores;2;Femenino;12414;12440;12466;12491;12516;12541;12565;12589;12613;12636;12659;12682;12704;12726;12747;12769
Leandro N. Alem;2;Femenino;8625;8649;8673;8697;8720;8743;8766;8789;8811;8833;8854;8875;8896;8917;8937;8957
Lincoln;2;Femenino;21419;21426;21432;21438;21444;21450;21456;21462;21467;21473;21478;21484;21489;21494;21500;21505
Lobería;2;Femenino;8774;8802;8829;8857;8884;8910;8937;8963;8988;9013;9038;9063;9087;9110;9134;9157
Lobos;2;Femenino;18726;18914;19100;19284;19465;19644;19821;19995;20166;20335;20501;20665;20827;20986;21143;21298
Luján;2;Femenino;54194;54884;55568;56245;56912;57569;58217;58856;59487;60107;60719;61321;61914;62500;63077;63645
Magdalena;2;Femenino;8161;8253;8344;8433;8521;8606;8665;8722;8776;8829;8855;8879;8902;8922;8941;8958
Maipú;2;Femenino;5357;5360;5367;5375;5382;5390;5398;5407;5415;5424;5433;5441;5451;5460;5469;5479
Mar Chiquita;2;Femenino;10677;10878;11077;11274;11468;11659;11848;12034;12217;12398;12576;12751;12924;13094;13262;13427
Marcos Paz;2;Femenino;26355;26960;27558;28151;28735;29310;29877;30437;30989;31532;32067;32594;33114;33627;34132;34629
Mercedes;2;Femenino;32352;32554;32755;32953;33148;33341;33531;33718;33903;34085;34264;34440;34614;34786;34955;35121
Monte;2;Femenino;10676;10796;10934;11070;11213;11348;11490;11635;11786;11945;12071;12234;12385;12543;12699;12852
Monte Hermoso;2;Femenino;3178;3222;3264;3307;3349;3390;3430;3470;3510;3548;3587;3624;3662;3698;3734;3770
Navarro;2;Femenino;8616;8668;8718;8769;8818;8867;8916;8963;9010;9056;9102;9147;9191;9234;9277;9320
Necochea;2;Femenino;48736;48901;49064;49225;49384;49541;49695;49847;49998;50146;50291;50435;50576;50716;50854;50989
9 de Julio;2;Femenino;24709;24742;24774;24805;24837;24867;24898;24928;24957;24986;25015;25043;25071;25098;25125;25152
Olavarría;2;Femenino;56626;57006;57383;57756;58124;58486;58843;59195;59543;59885;60221;60553;60880;61203;61521;61834
Patagones;2;Femenino;15267;15354;15441;15527;15611;15694;15776;15857;15937;16016;16093;16170;16245;16319;16392;16464
Pehuajó;2;Femenino;20611;20700;20789;20877;20964;21049;21133;21216;21298;21378;21458;21536;21613;21689;21764;21838
Pellegrini;2;Femenino;2978;2987;2997;3007;3016;3026;3036;3046;3055;3065;3075;3085;3094;3104;3114;3124
Pergamino;2;Femenino;55524;55900;56273;56641;57004;57362;57715;58063;58407;58745;59078;59405;59729;60048;60362;60671
Pila;2;Femenino;1810;1831;1851;1872;1892;1911;1931;1950;1969;1987;2006;2024;2042;2059;2076;2093
Pilar;2;Femenino;150322;154364;158368;162327;166234;170081;173873;177616;181306;184941;188518;192042;195519;198946;202323;205649
Pinamar;2;Femenino;12899;13185;13467;13746;14022;14293;14561;14825;15085;15342;15594;15843;16088;16330;16568;16803
Presidente Perón;2;Femenino;40765;42018;43259;44486;45697;46889;48065;49225;50368;51495;52604;53696;54773;55836;56882;57913
Puán;2;Femenino;8073;8039;8004;7970;7937;7904;7871;7839;7808;7776;7746;7716;7686;7656;7627;7599
Punta Indio;2;Femenino;4969;5004;5039;5073;5107;5141;5174;5207;5239;5270;5302;5332;5363;5392;5422;5451
Ramallo;2;Femenino;16746;16990;17232;17472;17708;17941;18170;18396;18619;18839;19055;19268;19479;19686;19890;20091
Rauch;2;Femenino;7756;7803;7849;7895;7941;7985;8029;8073;8116;8158;8200;8241;8281;8321;8360;8399
Rivadavia;2;Femenino;8056;8104;8146;8187;8231;8275;8317;8359;8399;8438;8476;8512;8548;8582;8616;8648
Rojas;2;Femenino;12109;12137;12165;12193;12220;12247;12273;12299;12325;12350;12375;12400;12424;12448;12471;12494
Roque Pérez;2;Femenino;6192;6274;6354;6434;6512;6590;6665;6740;6814;6886;6957;7027;7095;7163;7229;7295
Saavedra;2;Femenino;10289;10298;10307;10316;10324;10333;10341;10349;10357;10365;10373;10381;10388;10396;10403;10411
Saladillo;2;Femenino;16467;16625;16782;16937;17090;17241;17389;17536;17681;17823;17963;18101;18238;18372;18504;18635
Salto;2;Femenino;16719;16924;17128;17329;17528;17724;17916;18107;18294;18479;18661;18840;19017;19191;19363;19532
Salliqueló;2;Femenino;4450;4454;4458;4462;4466;4470;4473;4477;4481;4484;4488;4491;4494;4498;4501;4504
San Andrés de Giles;2;Femenino;11544;11678;11810;11941;12071;12198;12323;12447;12569;12689;12808;12924;13039;13153;13264;13374
San Antonio de Areco;2;Femenino;11822;11924;12024;12124;12223;12320;12415;12510;12603;12694;12784;12873;12961;13047;13132;13216
San Cayetano;2;Femenino;4249;4266;4283;4300;4317;4334;4350;4367;4382;4398;4414;4429;4444;4459;4473;4488
San Nicolás;2;Femenino;74985;75396;75804;76207;76605;76997;77383;77764;78140;78510;78874;79233;79587;79936;80280;80619
San Pedro;2;Femenino;30064;30321;30576;30828;31077;31322;31563;31801;32036;32268;32495;32720;32941;33159;33374;33586
San Vicente;2;Femenino;30104;31006;31900;32784;33656;34515;35362;36197;37021;37832;38631;39418;40194;40959;41713;42456
Suipacha;2;Femenino;5111;5193;5273;5353;5431;5509;5585;5660;5734;5808;5879;5950;6020;6089;6157;6224
Tandil;2;Femenino;64113;64882;65643;66397;67140;67871;68592;69303;70004;70695;71374;72044;72704;73354;73995;74626
Tapalqué;2;Femenino;4654;4702;4750;4797;4843;4889;4934;4978;5022;5065;5108;5150;5191;5232;5272;5311
Tordillo;2;Femenino;840;841;842;843;844;845;846;847;848;849;850;851;852;853;853;854
Tornquist;2;Femenino;6387;6449;6510;6571;6631;6689;6747;6805;6861;6917;6972;7026;7079;7131;7183;7234
Trenque Lauquen;2;Femenino;22034;22229;22423;22614;22803;22989;23172;23353;23531;23707;23880;24050;24218;24383;24547;24707
Tres Arroyos;2;Femenino;29477;29480;29485;29491;29498;29502;29507;29513;29521;29530;29540;29552;29565;29579;29595;29611
Tres Lomas;2;Femenino;4211;4241;4256;4289;4307;4333;4358;4383;4406;4428;4449;4469;4488;4506;4523;4539
25 de Mayo;2;Femenino;18585;18654;18721;18788;18854;18920;18984;19047;19109;19171;19231;19291;19350;19408;19465;19521
Villa Gesell;2;Femenino;15818;16100;16379;16655;16927;17195;17460;17720;17978;18231;18480;18726;18968;19207;19442;19674
Villarino;2;Femenino;15344;15621;15896;16167;16435;16698;16958;17215;17468;17717;17962;18204;18442;18677;18908;19136
Zárate;2;Femenino;57449;58046;58637;59221;59798;60366;60926;61478;62023;62560;63088;63608;64121;64627;65126;65617
